invoice_id,invoice_number,invoice_date,issuer_name,recipient_name,line_items_count,accounting_summary_count,vat_rows_count,total_net,total_vat,total_gross,currency,created_at,updated_at,issuer_siren,issuer_ape,issuer_ape_source,recipient_siren,recipient_ape,recipient_ape_source
fr_bd_519665103:2692d693-b2cb-47ee-9f7e-b33935883fbf,326025,02/01/2024,POMMIER TREPIN COUSIN,INCONNU,2,2,2,16.42,0.93,17.5,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:02a613fe-ddaf-4c57-8ceb-0bd9fc1661be,FV2401-00388,03/01/2024,AVIGROS,MOUAD,8,2,2,427.0,24.0,451.0,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:c9a9583f-837d-4c93-ab66-457b07562ec7,326199,03/01/2024,POMMIER TREPIN COUSIN,INCONNU,3,1,1,78.7,4.33,83.5,EUR,,,562048314,4632A,invoice_form,,,
fr_bd_519665103:36b6c940-ca33-489a-90f5-5b1fdbdf25c2,FV2401-01413,04/01/2024,AVIGROS,MOUAD,5,1,1,355.21,19.54,374.75,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:75741776-8a87-47e4-9465-0405f1c5e033,326335,04/01/2024,POMMIER TREPIN COUSIN,INCONNU,6,1,2,743.29,49.07,787.24,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:06b57208-10e0-4d08-899a-27ec6b8b083d,FV2401-02139,05/01/2024,AVIGROS,MOUAD,18,1,1,1085.48,61.05,1146.53,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:13d284e3-b4bb-41a3-9c12-0dcd6b5dba4d,FV2401-02513,06/01/2024,AVIGROS,MOUAD,14,1,2,1014.06,56.97,1071.03,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:caa3708c-4816-4c6e-b820-2b1740078108,326633,08/01/2024,POMMIER TREPIN COUSIN,INCONNU,5,2,2,170.47,9.5,180.64,EUR,,,562048314,4632A,siren_map_partition,,,
fr_bd_519665103:3b9a3d8b-8637-4c29-9738-7c118f0dcfd9,FV2401-03007,09/01/2024,AVIGROS,MOUAD,9,2,2,765.89,42.97,808.86,EUR,,,447915430,4632C,invoice_form,519665103,4722Z,siren_map_partition
fr_bd_519665103:d076d24b-496a-403c-8ec9-db2eaf9a2d47,326812,09/01/2024,POMMIER TREPIN COUSIN,INCONNU,4,2,2,132.23,7.33,139.85,EUR,,,562048314,4632A,siren_map_partition,,,
