item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0127,1,beurre de cacahuete kahuet creamy x,BEURRE DE CACAHUETE KAHUET CREAMY 12 X 340 GR FRANCE,707500,5.5,4631Z,,,,,,,
mrn_0128,1,beurre de cacahete kahuet crunchy x,BEURRE DE CACAHETE KAHUET CRUNCHY 12 X 340 GR FRANCE,707500,5.5,4631Z,,,,,,,
mrn_0129,1,avocat kg semil republique dominicaine,AVOCAT 5.5 KG SEMIL 34 REPUBLIQUE DOMINICAINE,707200,5.5,4631Z,,,,,,,
mrn_0130,1,concombre france,CONCOMBRE FRANCE,707200,5.5,4631Z,,,,,,,
mrn_0131,1,farine de manioc foufou 12x1kg cameroun,FARINE DE MANIOC FOUFOU 12X1KG CAMEROUN,707500,5.5,4631Z,,,,,,,
mrn_0132,1,concentre tomate pelee petit 24x400g romabella,CONCENTRE TOMATE PELEE PETIT 24X400G (ROMABELLA) ITALIE,707500,5.5,4631Z,,,,,,,
mrn_0133,1,epinard hache x 795gr france,EPINARD HACHE 12 X 795GR FRANCE,707500,5.5,4631Z,,,,,,,
mrn_0134,1,huile de tournesol 15x1l ukraine,HUILE DE TOURNESOL 15X1L UKRAINE,707300,5.5,4631Z,,,,,,,
mrn_0135,1,djakato 5kg espagne,DJAKATO 5KG ESPAGNE,707200,5.5,4631Z,,,,,,,
mrn_0136,1,cive x14 cebette allemagne,CIVE X14 (CEBETTE) ALLEMAGNE,707200,5.5,4631Z,,,,,,,
mrn_0137,1,carotte 10kg belgique,CAROTTE 10KG BELGIQUE,707200,5.5,4631Z,,,,,,,
mrn_0138,1,datte fraiche israel oubli sur facture,DATTE FRAICHE ISRAEL oubli sur facture 202431457,707100,5.5,4631Z,,,,,,,
mrn_0139,1,feuille epinard frais 5kg togo,FEUILLE EPINARD FRAIS 5KG TOGO,707100,5.5,4631Z,,,,,,,
mrn_0140,1,mangue avion egypte,MANGUE AVION EGYPTE,707100,5.5,4631Z,,,,,,,
mrn_0141,1,madd frais burkina faso,MADD FRAIS BURKINA FASO,707100,5.5,4631Z,,,,,,,
mrn_0142,1,poivre blanc moulu 20x100gr spigol france,POIVRE BLANC MOULU 20X100GR (SPIGOL) FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0143,1,epices poulet 20x100gr spig france,EPICES POULET 20X100GR SPIG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0144,1,muscade moulue 20x50gr spig france,MUSCADE MOULUE 20X50GR SPIG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0145,1,jus citron jaune 6x1l italie,JUS CITRON JAUNE 6X1L ITALIE,707100,5.5,4631Z,,,,,,,
mrn_0146,1,jus citron vert 6x1l italie,JUS CITRON VERT 6X1L ITALIE,707100,5.5,4631Z,,,,,,,
mrn_0147,1,citron jaune argentine,CITRON JAUNE ARGENTINE,707100,5.5,4631Z,,,,,,,
mrn_0148,1,farine de manioc foufou 12x1kg cameroun,FARINE DE MANIOC FOUFOU 12X1KG CAMEROUN,707100,5.5,4631Z,,,,,,,
mrn_0149,1,cube maggi 25x100 cote d ivoire,CUBE MAGGI 25X100 COTE D IVOIRE,707100,5.5,4631Z,,,,,,,
mrn_0150,1,jumbo display 24x48 espagne,JUMBO DISPLAY 24X48 ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0151,1,ginger drink happy life 12x1l pays,GINGER DRINK HAPPY LIFE 12X1L PAYS-BAS,707100,5.5,4631Z,,,,,,,
mrn_0152,1,ginger drink happy life 12x500ml pays,GINGER DRINK HAPPY LIFE 12X500ML PAYS-BAS,707100,5.5,4631Z,,,,,,,
mrn_0153,1,attieke frais cote d ivoire,ATTIEKE FRAIS COTE D IVOIRE,707100,5.5,4631Z,,,,,,,
mrn_0154,1,aloe vera espagne,ALOE VERA ESPAGNE,707100,5.5,4631Z,,,,,,,
mrn_0155,1,contribution public de l electricite cspe,Contribution au Service Public de l'Electricité (CSPE),635100,20.0,7010Z,,,,,,,
mrn_0156,1,contribution tarifaire d acheminement cta,Contribution Tarifaire d'Acheminement (CTA),635100,5.5,7010Z,,,,,,,
mrn_0157,1,aile de poulet 10kgartislach ws belgique,AILE DE POULET 10KGARTISLACH WS BELGIQUE,707100,5.5,4631Z,,,,,,,
mrn_0158,1,noix de coco cote d ivoire,NOIX DE COCO 40 COTE D IVOIRE,707100,5.5,4631Z,,,,,,,
mrn_0159,1,concentre tomate grand dieg bou diar,CONCENTRE TOMATE GRAND DIEG BOU DIAR 12X800GR SENEGAL,707100,5.5,4631Z,,,,,,,
mrn_0160,1,mayonnaise jadida petit 12x480 cameroun,MAYONNAISE JADIDA PETIT 12X480 CAMEROUN,707100,5.5,4631Z,,,,,,,
mrn_0161,1,mayonnaise jadida grand 6x900 cameroun,MAYONNAISE JADIDA GRAND 6X900 CAMEROUN,707100,5.5,4631Z,,,,,,,
mrn_0162,1,pate d arachide dakatine grand 6x850gr,PATE D'ARACHIDE DAKATINE GRAND 6X850GR FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0163,1,adja 6x1kg senegal,ADJA 6X1KG SENEGAL,707100,5.5,4631Z,,,,,,,
mrn_0164,1,farine pan blanche 10x1kg italie,FARINE PAN BLANCHE 10X1KG ITALIE,707100,5.5,4631Z,,,,,,,
mrn_0165,1,lait en poudre nido 6x2 5kgpays,LAIT EN POUDRE NIDO 6X2.5KGPAYS-BAS,707100,5.5,4631Z,,,,,,,
mrn_0166,1,lait concentre bonnet rouge petit x,LAIT CONCENTRE BONNET ROUGE PETIT 24 X 170 GR PAYS-BAS,707100,5.5,4631Z,,,,,,,
mrn_0167,1,lait concentre bonnet rouge grand 24x410g,LAIT CONCENTRE BONNET ROUGE GRAND 24X410G ANGLETERRE,707100,5.5,4631Z,,,,,,,
mrn_0168,1,vitamalt bouteille classic 24x33cl danemark,VITAMALT BOUTEILLE CLASSIC 24X33CL DANEMARK,707100,5.5,4631Z,,,,,,,
mrn_0169,1,the starling citron 12x400gr allemagne,THE STARLING CITRON 12X400GR ALLEMAGNE,707100,5.5,4631Z,,,,,,,
mrn_0170,1,pated arachide pcd12x500gr hollande,PATED'ARACHIDE PCD12X500GR HOLLANDE,707100,5.5,4631Z,,,,,,,
mrn_0171,1,farine fioretto blanc 10x1kg ukraine,FARINE FIORETTO BLANC 10X1KG UKRAINE,707100,5.5,4631Z,,,,,,,
mrn_0172,1,farine fioretto jaune 10x1kg argentine,FARINE FIORETTO JAUNE 10X1KG ARGENTINE,707100,5.5,4631Z,,,,,,,
mrn_0173,1,farine pan jaune 10x1kg italie,FARINE PAN JAUNE 10X1KG ITALIE,707100,5.5,4631Z,,,,,,,
mrn_0174,1,mayonnaise bama petit 12x473 usa,MAYONNAISE BAMA PETIT 12X473 USA,707100,5.5,4631Z,,,,,,,
mrn_0175,1,mayonnaise bama grand 12x946 usa,MAYONNAISE BAMA GRAND 12X946 USA,707100,5.5,4631Z,,,,,,,
mrn_0176,1,courgette 9kg france,COURGETTE 9KG FRANCE,707100,5.5,4631Z,,,,,,,
mrn_0177,1,mogu mogu mixte 24x32cl thailande,MOGU-MOGU MIXTE 24X32CL THAILANDE,707100,5.5,4631Z,,,,,,,
