item_id,article_source,issuer_name_main,issuer_ape_main,tva_rate,expected_compte_comptable,predicted_compte_comptable,account_match,expected_sous_profil,predicted_sous_profil,sous_profil_match,predicted_profil_facturation,predicted_score_confiance,score_gap_top2,recommendation_decision,recommendation_alerts,top3_accounts,top3_sous_profils,top3_articles,top1_match_reason,top1_tva_coherence,top1_metier_coherence
cext_0011,Frais Administratifs Carte Acheteur,RUNGIS MARCHE INTERNATIONAL,6832A,20.0,6226,6226,yes,frais_administratifs_et_bancaires,frais_administratifs_et_bancaires,yes,forfait_ou_frais,100.0,57.76,auto_ok,,6226 (100.0) | 6227 (42.24) | 6226 (42.0),frais_administratifs_et_bancaires (100.0) | frais_administratifs_et_bancaires (42.24) | telecom_et_abonnements (42.0),Frais Administratifs Carte Acheteur (100.0) | Frais de relance (42.24) | ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25 (42.0),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0012,Frais de port,TRADCO FRANCE,,0.0,6227,6227,yes,transport_et_logistique,transport_et_logistique,yes,prestation_ponctuelle,100.0,22.62,auto_ok,,6227 (100.0) | 6227 (77.38) | 6226 (59.3),transport_et_logistique (100.0) | frais_administratifs_et_bancaires (77.38) | transport_et_logistique (59.3),Frais de port (100.0) | Frais de relance (77.38) | Total Port (59.3),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0013,Frais de relance,LEFORT & RAIMBERT,,0.0,6227,6227,yes,frais_administratifs_et_bancaires,frais_administratifs_et_bancaires,yes,forfait_ou_frais,100.0,26.62,auto_ok,,6227 (100.0) | 6227 (73.38) | 6281 (55.11),frais_administratifs_et_bancaires (100.0) | transport_et_logistique (73.38) | cotisations_professionnelles (55.11),Frais de relance (100.0) | Frais de port (73.38) | FRAIS FIXES (55.11),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0014,interb gbao,POMMIER TREPIN COUSIN,4632A,5.5,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,24.29,auto_ok,,6227 (100.0) | 6227 (75.71) | 6227 (41.89),cotisations_professionnelles (100.0) | cotisations_professionnelles (75.71) | cotisations_professionnelles (41.89),interb gbao (100.0) | interb vdo (75.71) | INTERBEV (41.89),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
cext_0015,interb vdo,POMMIER TREPIN COUSIN,4632A,5.5,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,17.29,auto_ok,,6227 (100.0) | 6227 (82.71) | 6227 (57.67),cotisations_professionnelles (100.0) | cotisations_professionnelles (82.71) | cotisations_professionnelles (57.67),interb vdo (100.0) | interb gbao (82.71) | INTERBEV (57.67),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
cext_0016,INTERBEV,BBV,4632A,5.5,6227,6227,yes,cotisations_professionnelles,cotisations_professionnelles,yes,cotisation_ou_forfait,100.0,0.0,auto_ok,,6227 (100.0) | 6227 (100.0) | 6227 (52.67),cotisations_professionnelles (100.0) | cotisations_professionnelles (100.0) | cotisations_professionnelles (52.67),INTERBEV (100.0) | INTERBEV (100.0) | interb vdo (52.67),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0017,Sortie viande,AVIGROS,4632C,20.0,6227,6227,yes,transport_et_logistique,transport_et_logistique,yes,prestation_ponctuelle,100.0,20.14,auto_ok,,6227 (100.0) | 6226 (79.86) | 6227 (29.09),transport_et_logistique (100.0) | transport_et_logistique (79.86) | transport_et_logistique (29.09),Sortie viande (100.0) | Sortie volaille (79.86) | Transport sur ventes (29.09),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
cext_0018,Sortie volaille,AVIGROS,4632C,20.0,6226,6226,yes,transport_et_logistique,transport_et_logistique,yes,prestation_ponctuelle,100.0,22.14,auto_ok,,6226 (100.0) | 6227 (77.86) | 6227 (24.0),transport_et_logistique (100.0) | transport_et_logistique (77.86) | transport_et_logistique (24.0),Sortie volaille (100.0) | Sortie viande (77.86) | Transport sur ventes (24.0),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
cext_0019,Terme 01/2025,LEFORT & RAIMBERT,,0.0,6226,6226,yes,frais_administratifs_et_bancaires,frais_administratifs_et_bancaires,yes,forfait_ou_frais,100.0,44.0,auto_ok,,6226 (100.0) | 6132 (56.0) | 6132 (51.53),frais_administratifs_et_bancaires (100.0) | loyers_et_charges_locatives (56.0) | loyers_et_charges_locatives (51.53),Terme 01/2025 (100.0) | ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025 (56.0) | LOYER PRINCIPAL Du 01/01/2025 Au 31/03/2025 Indice 06 4TR2022 (51.53),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
cext_0020,TM HT,SENV,4632A,20.0,6226,6226,yes,frais_administratifs_et_bancaires,frais_administratifs_et_bancaires,yes,forfait_ou_frais,100.0,63.0,auto_ok,,6226 (100.0) | 6226 (37.0) | 6226 (37.0),frais_administratifs_et_bancaires (100.0) | transport_et_logistique (37.0) | transport_et_logistique (37.0),TM HT (100.0) | Total Port (37.0) | Total Port (37.0),"match exact article_source, source facture reelle, bonus metier, bonus TVA",coherente,coherente
cext_0021,Total Port,AVIGROS,4632C,20.0,6226,6226,yes,transport_et_logistique,transport_et_logistique,yes,prestation_ponctuelle,100.0,0.0,auto_ok,,6226 (100.0) | 6226 (100.0) | 6227 (55.3),transport_et_logistique (100.0) | transport_et_logistique (100.0) | transport_et_logistique (55.3),Total Port (100.0) | Total Port (100.0) | Frais de port (55.3),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0022,Transport sur ventes,AVIGROS,4632C,20.0,6227,6227,yes,transport_et_logistique,transport_et_logistique,yes,prestation_ponctuelle,100.0,68.0,auto_ok,,6227 (100.0) | 6226 (32.0) | 6226 (32.0),transport_et_logistique (100.0) | transport_et_logistique (32.0) | transport_et_logistique (32.0),Transport sur ventes (100.0) | Sortie volaille (32.0) | Total Port (32.0),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0023,ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025,LEFORT & RAIMBERT,,0.0,6132,6132,yes,loyers_et_charges_locatives,loyers_et_charges_locatives,yes,loyer_et_charges,100.0,26.42,auto_ok,,6132 (100.0) | 6132 (73.58) | 613 (63.45),loyers_et_charges_locatives (100.0) | loyers_et_charges_locatives (73.58) | loyers_et_charges_locatives (63.45),ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025 (100.0) | SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024 (73.58) | SOLDE CHARGES LOCATIVES 2023 Du 01/01/2023 Au 31/12/2023 (63.45),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0024,DESOURISATION DU 30/01/2024,LEFORT & RAIMBERT,,0.0,613,613,yes,entretien_et_maintenance,entretien_et_maintenance,yes,intervention_ponctuelle,100.0,44.7,auto_ok,,613 (100.0) | 6132 (55.3) | 6226 (44.19),entretien_et_maintenance (100.0) | loyers_et_charges_locatives (55.3) | telecom_et_abonnements (44.19),DESOURISATION DU 30/01/2024 (100.0) | SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024 (55.3) | ABONNEMENT TRIM. SIMS CARTE SIM du 01/04/25 au 30/06/25 (44.19),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0025,LOYER PRINCIPAL Du 01/01/2025 Au 31/03/2025 Indice 06 4TR2022,LEFORT & RAIMBERT,,0.0,6132,6132,yes,loyers_et_charges_locatives,loyers_et_charges_locatives,yes,loyer_et_charges,100.0,68.67,auto_ok,,6132 (100.0) | 6132 (31.33) | 6132 (30.52),loyers_et_charges_locatives (100.0) | loyers_et_charges_locatives (31.33) | loyers_et_charges_locatives (30.52),LOYER PRINCIPAL Du 01/01/2025 Au 31/03/2025 Indice 06 4TR2022 (100.0) | ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025 (31.33) | SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024 (30.52),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0026,SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024,LEFORT & RAIMBERT,,0.0,6132,6132,yes,loyers_et_charges_locatives,loyers_et_charges_locatives,yes,loyer_et_charges,100.0,0.0,auto_ok,,6132 (100.0) | 613 (100.0) | 6132 (72.29),loyers_et_charges_locatives (100.0) | loyers_et_charges_locatives (100.0) | loyers_et_charges_locatives (72.29),SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024 (100.0) | SOLDE CHARGES LOCATIVES 2023 Du 01/01/2023 Au 31/12/2023 (100.0) | ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025 (72.29),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0027,SOLDE CHARGES LOCATIVES 2023 Du 01/01/2023 Au 31/12/2023,LEFORT & RAIMBERT,,0.0,613,613,yes,loyers_et_charges_locatives,loyers_et_charges_locatives,yes,loyer_et_charges,100.0,0.0,auto_ok,,613 (100.0) | 6132 (100.0) | 6132 (57.28),loyers_et_charges_locatives (100.0) | loyers_et_charges_locatives (100.0) | loyers_et_charges_locatives (57.28),SOLDE CHARGES LOCATIVES 2023 Du 01/01/2023 Au 31/12/2023 (100.0) | SOLDE CHARGES 2024 Du 01/01/2024 Au 31/12/2024 (100.0) | ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025 (57.28),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
cext_0028,Total Port,AVIGROS,4632C,20.0,6226,6226,yes,transport_et_logistique,transport_et_logistique,yes,prestation_ponctuelle,100.0,0.0,auto_ok,,6226 (100.0) | 6226 (100.0) | 6227 (55.3),transport_et_logistique (100.0) | transport_et_logistique (100.0) | transport_et_logistique (55.3),Total Port (100.0) | Total Port (100.0) | Frais de port (55.3),"match exact article_source, source facture reelle, bonus metier, bonus charges externes, bonus TVA",coherente,coherente
