source_file,output_file,action,bucket,article_source_before,article_source_after,account_before,account_after,details,target_file
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Loyer,Loyer,6132,6132,"classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Charges locatives,Charges locatives,6132,6132,"classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Total Port,Total Port,624,624,"sous_categorie,classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,Transport sur ventes,Transport sur ventes,624,624,"sous_categorie,classification_reason,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025,ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025,6132,6132,"['acompte', 'charges', '01', '01', '2025', '28'] -> ['acompte', 'charges']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025,ACOMPTE SUR CHARGES Du 01/01/2025 Au 28/02/2025,6132,6132,classification_version,
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,DESOURISATION DU 30/01/2024,DESOURISATION DU 30/01/2024,613,613,"['desourisation', '30', '01', '2024'] -> ['desourisation']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,DESOURISATION DU 30/01/2024,DESOURISATION DU 30/01/2024,613,613,"sous_categorie,classification_version",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,rebuild_keywords,items,LOYER PRINCIPAL 01/01/2025-31/03/2025,LOYER PRINCIPAL 01/01/2025-31/03/2025,6132,6132,"['loyer', 'principal', '01', '01', '2025', '31'] -> ['loyer', 'principal', 'indice', '4tr2022']",
base_charges_externes_v1.json,base_charges_externes_clean_v2.json,refresh_charge_classification,items,LOYER PRINCIPAL 01/01/2025-31/03/2025,LOYER PRINCIPAL 01/01/2025-31/03/2025,6132,6132,classification_version,
