item_id,occurrences,canonical_label,source_label_main,proposed_account,tva_main,ape_supplier_main,ape_client_main,decision_keep_or_exclude,corrected_category,corrected_account,corrected_canonical_label,tva_rule_note,comment
mrn_0058,5,djakato 5kg espagne,DJAKATO 5KG ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0059,5,gombo 5kg honduras,GOMBO 5KG HONDURAS,6011,5.5,4631Z,,,,,,,
mrn_0060,5,gomboagrolulo 4kg espagne,GOMBOAGROLULO 4KG ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0061,5,riz comb perf cass kg,riz comb perf cass +1 20.kg,601,5.5,4690Z,,,,,,,
mrn_0062,4,poivron r v,POIVRON R/V,601,5.5,4941B,,,,,,,
mrn_0063,4,vivaneau blanc l colas file rose,"VIVANEAU BLANC l COLAS FILE ""rose"" E/V 3-5kg vrac x PF JF3",6011,5.5,511N,,,,,,,
mrn_0064,4,aromes divers lions x senegal,AROMES DIVERS 3 LIONS X 12 SENEGAL,6011,5.5,4631Z,,,,,,,
mrn_0065,4,oignon jaune 5kg hollande,OIGNON JAUNE 5KG HOLLANDE,6011,5.5,4631Z,,,,,,,
mrn_0066,4,oeufs moyens blancs,OEUFS MOYENS BLANCS 10*30,6011,5.5,4638B,,,,,,,
mrn_0067,4,oeufs moyens teintes 10x30,OEUFS MOYENS TEINTES (10X30),6011,5.5,4638B,,,,,,,
mrn_0068,4,spring roll pastry pate a samoussa,SPRING ROLL pastry Pate a Samoussa 30 pcs/sht x 550g,6011,5.5,511N,,,,,,,
mrn_0069,4,piment antillais 3kg espagne,PIMENT ANTILLAIS 3KG ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0070,4,patate douce brezil,Patate douce Brézil,601,5.5,4941B,,,,,,,
mrn_0071,4,plantain 22k colombie,PLANTAIN 22K COLOMBIE,601,5.5,4631Z,,,,,,,
mrn_0072,4,ail 20x200gr chine,AIL 20x200gr CHINE,601,5.5,4631Z,,,,,,,
mrn_0073,4,poivron vert 5kg espagne,POIVRON VERT 5KG ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0074,4,gingembre 10kg chine,GINGEMBRE 10KG CHINE,601,5.5,4631Z,,,,,,,
mrn_0075,4,carte x8401 tai y,Carte X8401 Tai Y,6061,20.0,4638B,,,,,,,
mrn_0076,4,carburant total energies,Carburant TOTAL ENERGIES,6068,20.0,4638B,,,,,,,
mrn_0077,4,piment antillais 3kg espagne,PIMENT ANTILLAIS 3KG ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0078,4,tomate vrac belgique,TOMATE VRAC BELGIQUE,6061,5.5,4631Z,,,,,,,
mrn_0079,4,pimentantillais 3kg espagne,PIMENTANTILLAIS 3KG ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0080,4,patate douce orange 6kg egypte,PATATE DOUCE ORANGE 6KG EGYPTE,601,5.5,4631Z,,,,,,,
mrn_0081,4,concombre espagne,CONCOMBRE ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0082,4,chou,Chou,601,0.0,4941B,,,,,,,
mrn_0083,4,oignon jaune 5kg france,OIGNON JAUNE 5KG FRANCE,601,5.5,4631Z,,,,,,,
mrn_0084,4,poivron vert 5kg espagne,POIVRON VERT 5KG ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0085,4,citron jaune espagne,CITRON JAUNE ESPAGNE,601,5.5,4631Z,,,,,,,
mrn_0086,4,chips,CHIPS,601,0.0,4941B,,,,,,,
mrn_0087,3,djakatou 10kg france,DJAKATOU 10KG FRANCE,6011,5.5,4631Z,,,,,,,
mrn_0088,3,chou blanc 10kg france,CHOU BLANC 10KG FRANCE,6011,5.5,4631Z,,,,,,,
mrn_0089,3,aubergine blanche 5kg france,AUBERGINE BLANCHE 5KG FRANCE,6011,5.5,4631Z,,,,,,,
mrn_0090,3,courbine nanka videe ecaillee 600g vrac,COURBINE NANKA vidée écaillée 400-600g vrac x 5kg,6011,5.5,511N,,,,,,,
mrn_0091,3,fecule pomme de terre ba 5kg,FECULE POMME DE TERRE BA 5KG,601,5.5,4639B,,,,,,,
mrn_0092,3,pondu saka saka 50x500g 25kg,PONDU SAKA SAKA (50X500G) 25KG,601,5.5,4639B,,,,,,,
mrn_0093,3,citron jaune espagne,CITRON JAUNE ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0094,3,patate douce orange,Patate douce orange,601,5.5,4941B,,,,,,,
mrn_0095,3,avocat 6kg republique dominicaine,AVOCAT 6KG REPUBLIQUE DOMINICAINE,6011,5.5,4631Z,,,,,,,
mrn_0096,3,jumbo ramadan espagne,JUMBO RAMADAN 100+15% ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0097,3,courgette 9kg espagne,COURGETTE 9KG ESPAGNE,6011,5.5,4631Z,,,,,,,
mrn_0098,3,lait concentre bonnet rouge grand 24x410g,LAIT CONCENTRE BONNET ROUGE GRAND 24X410G ANGLETERRE,6011,5.5,4631Z,,,,,,,
mrn_0099,3,consommation d electricite ht,Consommation d'électricité (HT) - Période du 22/12/22 au 31/12/22,6068,20.0,7010Z,,,,,,,
mrn_0100,3,ail vrac 10kg chine,AIL VRAC 10KG CHINE,601,5.5,4631Z,,,,,,,
mrn_0101,3,gingembre kg perou,GINGEMBRE 13 KG PEROU,601,5.5,4631Z,,,,,,,
mrn_0102,3,igname puna 20kg ghana,IGNAME PUNA 20KG GHANA,6011,5.5,4631Z,,,,,,,
mrn_0103,3,poivron vert 5kg belgique,POIVRON VERT 5KG BELGIQUE,6011,5.5,4631Z,,,,,,,
mrn_0104,3,patate douce rouge 10kg bresil,PATATE DOUCE ROUGE 10KG BRESIL,6061,5.5,4631Z,,,,,,,
mrn_0105,3,citron vert bresil,CITRON VERT BRESIL,6061,5.5,4631Z,,,,,,,
mrn_0106,3,carotte 10kg belgique,CAROTTE 10KG BELGIQUE,6061,5.5,4631Z,,,,,,,
mrn_0107,3,banane fruit kg france,BANANE FRUIT 19 KG FRANCE,6061,5.5,4631Z,,,,,,,
mrn_0108,3,cive x14 cebette allemagne,CIVE X14 (CEBETTE) ALLEMAGNE,6061,5.5,4631Z,,,,,,,
mrn_0109,3,aubergine violette 5kg hollande,AUBERGINE VIOLETTE 5KG HOLLANDE,6061,5.5,4631Z,,,,,,,
mrn_0110,3,poivron vert 5kg pologne,POIVRON VERT 5KG POLOGNE,6061,5.5,4631Z,,,,,,,
mrn_0111,3,piment vert 4kg maroc,PIMENT VERT 4KG MAROC,6061,5.5,4631Z,,,,,,,
mrn_0112,3,chips plantain mixte n 20x85gr colombie,CHIPS PLANTAIN MIXTE N°1 20X85GR COLOMBIE,6011,5.5,4631Z,,,,,,,
mrn_0113,3,abonnement d electricite classique,Abonnement d'électricité - Offre classique du 22/04/2023 au 21/06/2023,6061,20.0,7010Z,,,,,,,
mrn_0114,3,consommation d electricite kwh,Consommation d'électricité - Période du 22/02/23 au 26/03/23 - 4157 kWh,6061,20.0,7010Z,,,,,,,
mrn_0115,3,chou blanc 10kg pays bas,CHOU BLANC 10KG PAYS-BAS,6011,5.5,4631Z,,,,,,,
mrn_0116,3,pate d arachide pcd 12x500gr hollande,PATE D'ARACHIDE PCD 12X500GR HOLLANDE,6011,5.5,4631Z,,,,,,,
mrn_0117,3,arachide grille 24x300g togo,ARACHIDE GRILLE 24X300G TOGO,6011,5.5,4631Z,,,,,,,
mrn_0118,3,carottes,Carottes,601,5.5,4941B,,,,,,,
mrn_0119,3,cola melange cote d ivoire,COLA MELANGE COTE D IVOIRE,6011,5.5,4631Z,,,,,,,
mrn_0120,3,petit cola cote d ivoire,PETIT COLA COTE D IVOIRE,6011,5.5,4631Z,,,,,,,
mrn_0121,3,djakato 5kg espagne,DJAKATO 5KG ESPAGNE,6061,5.5,4631Z,,,,,,,
