file,metier,article,action,old_account,new_account,reason
base_produits_restaurant_clean_v2.json,restaurant,Misu Coco-Rocher,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 COUV BTE SALADE KRAFT GM,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CUISSE POULET HALAL CEE 10KG,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,DONUTS FILET POULET,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CAROTTE MC 5KG 20/40 GB40 FR C1france,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CUISSE DE POULET HALAL UE 10KG,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,DONUT DE FILET DE POULET,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,FILET DE POULET HALAL UE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCACOLA BOITE SLIM 33CL,clean_or_account_fix,6068,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PILONS DE POULET ID HALAL,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,FILET DE POULET HALAL CEE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CRISTALI 50CL PET,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PILON DE POULET ID HALAL,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MPRO BOBINE 2P 450F X6,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MERGUEZ BOEUF/AGN HALAL,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,AILE DE POULET 3 PHALANGES HALAL UE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCA COLA VC 33CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,OASIS TROPICAL SLIM BTE 33CL,clean_or_account_fix,6068,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,AILES DE POULET 3 PHALANGES HALAL CEE,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MC PENNE RIGATE 5KG,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,Tiramisu Toffee-Choc,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 BTE SALADE KRAFT 1300ML,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CAISSE COCA 24X33CL PLEIN,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 COUV BTE SALADE KRAFT PM,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,HAWAI TROPICAL BOITE 33CL,clean_or_account_fix,6068,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,CREME FRAICHE GRAND FERMAGE 5L 15%,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCA CHERRY 33CLx24 EU,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,COCA SANS SUCRES VC 33CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,FUZETEA MENTH/CITRON VERT 33CL,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,OASIS TROPICAL 33CL x 24,clean_or_account_fix,6068,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,MPRO 250 SERV 2P BLC 40X40,clean_or_account_fix,6063,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,VIANDE HACHEE EGRENEE 4MM BOEUF ISLAM CONTROL 1KG,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PERRIER BOITE SLIM 33CL,clean_or_account_fix,6068,6062,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,AIL PELE BOCAL 1 KG,clean_or_account_fix,6011,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,PLT BLC PAC NU HAL 1.2KG*10 FR,clean_or_account_fix,601,601,keywords/account normalized
base_produits_restaurant_clean_v2.json,restaurant,50 SAC PAP KRAFT POIG 26X14X32,clean_or_account_fix,6063,6062,keywords/account normalized
