article_source,normalized_label,invoice_count,line_occurrences,sample_account,predicted_sous_profil,predicted_nature_charge,predicted_profil_facturation,classification_reason,already_in_base,partitions
APPORTEUR D'AFFAIRES,apporteur d affaires,8,8,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_832065999
Abonnement Livebox Pro Fibre,abonnement livebox pro fibre,8,8,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999 | fr_bd_929728467
Ad free for Prime Video,ad free for prime video,8,8,6068,assurances,prime,prime_et_periode,keyword_or_account:assurance,False,fr_bd_832065999
Assistance Pro 24/24,assistance pro 24 24,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_929728467
BEURRE DOUX 82% BLOC 25KG,beurre doux 82 bloc 25kg,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
Box 2éme ETAGE 4.5m2 / 11m3 Forfait mensuel 69.17 EUR,box 2eme etage 4 5m2 11m3 forfait mensuel 69 17 eur,8,8,6112,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999
CHEVRE BUCHETTE 180G LA PIECE,chevre buchette 180g la piece,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
COMPOTE PATIS.26% 5/1,compote patis 26 5 1,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Carte d'Identification Professionnelle BTP,carte d identification professionnelle btp,8,8,628200,autres_charges_externes,frais,forfait_ou_frais,fallback,False,fr_bd_842785719
Composante de comptage - Echoir,composante de comptage echoir,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
Composante de gestion - Echoir,composante de gestion echoir,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
Composante de soutirage fixe - Echoir,composante de soutirage fixe echoir,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
Consommations HCE,consommations hce,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Consommations HPE,consommations hpe,8,8,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
FANTA ORANGE 33 EU,fanta orange 33 eu,8,8,601,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_891370595 | fr_bd_929728467
